Date,Destination,Visitor_Count,Hotel_Occupancy,Flight_Arrivals,Average_Temperature,Economic_Index,Major_Event
2000-01-01,Paris,152,91.86171947440931,34,24.279757672456203,1.0986584841970366,Festival
2000-01-01,Tokyo,152,77.83331011414364,94,13.369955678634685,0.8337086111390218,Festival
2000-01-01,New York,153,88.32290311184181,41,-2.7435368389159898,1.2219987722668249,Festival
2000-01-01,London,207,68.49356442713105,83,34.6884623716487,1.1174815096277166,Exhibition
2000-01-01,Berlin,107,80.99025726528951,68,15.990986410335566,0.8998609717152555,Exhibition
2000-01-02,Paris,269,98.95022075365836,34,13.242799368681439,1.2851759613930136,Conference
2000-01-02,Tokyo,100,75.29847965068652,83,13.670515729919195,1.3599404067363206,Cultural Event
2000-01-02,New York,184,66.82096494749166,58,-4.469401553605339,1.4422017556848528,Conference
2000-01-02,London,63,92.33589392465845,28,-4.361349911191432,0.730893825622149,Conference
2000-01-02,Berlin,141,77.60609974958405,90,19.399866311304837,1.3331949117361643,Cultural Event
2000-01-03,Paris,84,96.37281608315129,55,2.289443511522493,1.2553614103176525,Festival
2000-01-03,Tokyo,183,68.31766651472755,23,2.3941782210210816,1.4695846277645586,Festival
2000-01-03,New York,267,77.99016533479062,93,30.79309401710595,1.097899978811085,Festival
2000-01-03,London,97,73.06163075223341,97,2.839314496765808,0.5452272889105381,Conference
2000-01-03,Berlin,89,93.78135394712606,72,18.47004662655393,1.465255307264138,Exhibition
2000-01-04,Paris,237,81.70784332632994,60,6.850940228163296,0.6652669390630025,Exhibition
2000-01-04,Tokyo,138,99.47547746402068,20,2.9486272613668962,0.5055221171236024,
2000-01-04,New York,188,67.95369616355221,27,24.160286721639494,1.2712703466859456,Festival
2000-01-04,London,54,97.05203514053396,60,31.59838702175123,1.3500385777897992,Festival
2000-01-04,Berlin,61,73.23592099410597,67,9.832730087930655,1.1688412526636074,Conference
2000-01-05,Paris,86,89.18424713352256,54,13.888597006477973,0.6195942459383017,
2000-01-05,Tokyo,255,93.95655297064336,24,17.45108790277985,1.270967179954561,
2000-01-05,New York,152,61.617343581537256,98,12.101640734341984,0.5254191267440952,Festival
2000-01-05,London,254,68.06876809341585,71,17.531022879055346,1.1955160864261276,Cultural Event
2000-01-05,Berlin,278,69.971689165955,34,25.222045541721947,0.7287981654916225,Conference
2000-01-06,Paris,209,83.95461865954144,47,32.18790609370292,1.308120379564417,Conference
2000-01-06,Tokyo,234,64.21977039321082,47,27.14688307596458,0.6865700588860358,Festival
2000-01-06,New York,79,95.33121035675472,81,-0.5979230188929296,0.7279351625419417,Festival
2000-01-06,London,239,60.020815079812635,96,29.429223330253734,0.5069521305311907,Conference
2000-01-06,Berlin,249,81.36357677501768,81,3.884312418829211,0.6198653673336828,Festival
2000-01-07,Paris,221,69.76502088991097,78,7.928117280830209,1.0187906217433662,Exhibition
2000-01-07,Tokyo,282,76.15344684232163,81,33.87128330883843,1.4624472949421112,Festival
2000-01-07,New York,88,79.88994023569542,75,-3.524522105818688,1.1095643339798968,Conference
2000-01-07,London,179,76.44148053272926,20,4.582475626678896,0.6448948720912231,Cultural Event
2000-01-07,Berlin,221,77.91132658292366,89,4.682210860460017,1.1721355474058786,Exhibition
2000-01-08,Paris,252,74.78617824245617,36,24.128653944474383,0.8677831327192532,Festival
2000-01-08,Tokyo,165,99.33692563579372,30,27.657274928775358,1.298345124984551,Cultural Event
2000-01-08,New York,250,72.83120259886944,89,22.832512271635274,1.3583588048137198,
2000-01-08,London,236,68.80964190262193,86,27.380041845588615,0.8486659872917294,Festival
2000-01-08,Berlin,248,66.97465716019965,52,10.902880843500892,1.01775135052748,Festival
2000-01-09,Paris,153,65.50083776583973,76,-0.4610591503764372,1.4246936182785628,
2000-01-09,Tokyo,271,87.83137597380329,26,21.39936184136716,1.3172222002012157,
2000-01-09,New York,298,80.66543565084058,21,34.85014799031697,1.4654193512887936,Conference
2000-01-09,London,246,96.01672228653322,28,6.154854103687274,1.2003578299727713,Exhibition
2000-01-09,Berlin,257,95.88441039810309,43,11.180325084887603,1.3877700987609598,
2000-01-10,Paris,165,63.365598599801956,91,26.413626044557745,1.1689882547142285,Festival
2000-01-10,Tokyo,276,74.89131066246972,44,-4.7975366461512525,0.6608080514174987,Festival
2000-01-10,New York,131,79.42455014344907,54,21.078450380104023,0.7242693094605598,
2000-01-10,London,210,60.72301454462084,33,8.015987926370709,1.2464914051180243,Cultural Event
2000-01-10,Berlin,177,89.7668209222625,86,21.304515692013734,1.0683086033354716,Conference
2000-01-11,Paris,253,80.3525630735504,41,4.759585735163343,1.4730105547524457,Festival
2000-01-11,Tokyo,158,79.4696861183782,27,20.245545039890516,1.2948113035416484,Conference
2000-01-11,New York,79,85.80413448122259,83,29.56670260287612,0.7301852682415553,
2000-01-11,London,97,71.23089449763424,54,25.74216057225236,0.5436037717544338,Cultural Event
2000-01-11,Berlin,221,97.61834337411656,65,31.59457560881794,0.8701587002554444,Festival
2000-01-12,Paris,282,98.12287388095812,65,33.666192761746785,1.4636199770892528,
2000-01-12,Tokyo,274,63.01385024024513,51,29.045466860674274,0.8169220051562777,Festival
2000-01-12,New York,177,74.90747468376198,73,22.84119186699892,1.070061170089365,Festival
2000-01-12,London,73,68.3567487046144,66,34.60215400417053,0.640084015236524,Cultural Event
2000-01-12,Berlin,204,71.81162353675755,36,28.94679179698698,0.6366213314420288,Festival
2000-01-13,Paris,295,74.3796460487902,61,27.374446219140545,1.3101133946791808,Festival
2000-01-13,Tokyo,202,84.46054843462721,79,15.453695954437514,1.0015162946871996,Festival
2000-01-13,New York,222,67.7709581404817,27,23.078675090308135,1.295792669436101,Festival
2000-01-13,London,253,95.4646859580264,34,10.02331810559776,0.593981939840869,
2000-01-13,Berlin,264,86.88104541180797,70,13.623920725298404,1.0426446347075766,Cultural Event
